business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,inspection_year,inspection_month,inspection_day
2667,94118.0,37.780522999999995,-122.47358,92.0,103144.0,2.0,2019,9,18
1791,94121.0,37.781597,-122.492544,88.0,103129.0,4.0,2019,6,12
1596,94117.0,37.765848,-122.44966399999998,90.0,103154.0,1.0,2019,7,10
5206,94115.0,37.780567,-122.43196499999999,91.0,103154.0,1.0,2019,7,3
35659,94111.0,37.791984,-122.399754,80.0,103103.0,3.0,2019,6,10
64380,94111.0,37.793338,-122.399583,88.0,103124.0,1.0,2019,5,30
67182,94103.0,37.767525,-122.41073700000001,86.0,103105.0,3.0,2019,7,10
67985,94103.0,37.774722,-122.40676100000002,88.0,103124.0,1.0,2019,9,23
7457,94114.0,37.751564,-122.429369,94.0,103127.0,3.0,2019,9,4
816,94124.0,37.722374,-122.39584099999999,88.0,103142.0,1.0,2019,7,3
65241,94107.0,37.757815,-122.39014099999999,90.0,103127.0,3.0,2019,7,11
60208,94105.0,37.788544,-122.40059099999999,92.0,103142.0,1.0,2019,7,15
328,94115.0,37.783017,-122.432584,81.0,103145.0,3.0,2016,11,22
588,94116.0,37.742672999999996,-122.48333999999998,84.0,103142.0,1.0,2019,6,5
34046,94121.0,37.779373,-122.4999,86.0,103138.0,3.0,2019,9,20
2749,94110.0,37.745433,-122.419945,86.0,103116.0,3.0,2019,10,2
1850,94111.0,37.800178,-122.40131699999999,82.0,103124.0,1.0,2019,9,5
3237,94122.0,37.763273999999996,-122.483179,75.0,103142.0,1.0,2019,8,20
33710,94110.0,37.752455,-122.41411599999999,96.0,103154.0,1.0,2019,7,31
2601,94108.0,37.789883,-122.408666,81.0,103119.0,4.0,2019,7,31
2263,94118.0,37.782933,-122.46408899999999,68.0,103144.0,2.0,2019,4,2
1798,94103.0,37.777113,-122.404379,96.0,103133.0,1.0,2019,7,8
39606,94110.0,37.763228000000005,-122.415135,96.0,103129.0,4.0,2019,10,2
1791,94121.0,37.781597,-122.492544,88.0,103124.0,1.0,2019,6,12
3649,94103.0,37.765708000000004,-122.409002,94.0,103133.0,1.0,2018,12,13
547,94121.0,37.775728,-122.497522,84.0,103154.0,1.0,2019,7,2
65692,94121.0,37.780234,-122.479979,94.0,103154.0,1.0,2019,8,14
60115,94122.0,37.752922999999996,-122.50575900000001,77.0,103131.0,1.0,2019,8,5
2807,94109.0,37.806153,-122.420474,86.0,103157.0,2.0,2019,8,1
64380,94111.0,37.793338,-122.399583,88.0,103150.0,4.0,2019,5,30
2995,94103.0,37.776127,-122.408602,85.0,103131.0,1.0,2018,3,22
19002,94121.0,37.780421000000004,-122.479933,87.0,103120.0,3.0,2019,8,22
919,94108.0,37.791757000000004,-122.407377,96.0,103144.0,2.0,2019,9,27
68454,94115.0,37.785639,-122.429841,78.0,103144.0,2.0,2019,1,28
5258,94112.0,37.712715,-122.45136299999999,88.0,103124.0,1.0,2019,6,11
59986,94117.0,37.776838,-122.43856299999999,83.0,103144.0,2.0,2019,6,26
59520,94121.0,37.779663,-122.493618,90.0,103119.0,4.0,2019,5,29
59727,94133.0,37.808240000000005,-122.41018899999999,92.0,103124.0,1.0,2019,6,12
59520,94121.0,37.779663,-122.493618,90.0,103149.0,1.0,2019,5,29
34611,94108.0,37.795594,-122.408204,85.0,103142.0,1.0,2019,7,15
63755,94133.0,37.808240000000005,-122.41018899999999,68.0,103150.0,4.0,2019,8,14
67495,94110.0,37.760191999999996,-122.41379199999999,85.0,103144.0,2.0,2019,10,2
68454,94115.0,37.785639,-122.429841,78.0,103139.0,3.0,2019,1,28
588,94116.0,37.742672999999996,-122.48333999999998,84.0,103135.0,3.0,2019,6,5
64958,94115.0,37.785738,-122.428824,82.0,103124.0,1.0,2019,8,28
328,94115.0,37.783017,-122.432584,81.0,103131.0,1.0,2016,11,22
58879,94133.0,37.800297,-122.409107,87.0,103161.0,1.0,2019,9,23
328,94115.0,37.783017,-122.432584,82.0,103102.0,1.0,2018,6,26
3374,94102.0,37.787217999999996,-122.40897700000001,74.0,103124.0,1.0,2019,7,25
34046,94121.0,37.779373,-122.4999,86.0,103129.0,4.0,2019,9,20
61643,94105.0,37.788983,-122.40162600000001,85.0,103103.0,3.0,2019,6,17
33113,94102.0,37.785446,-122.412972,88.0,103161.0,1.0,2019,8,5
1932,94118.0,37.781138,-122.463931,77.0,103144.0,2.0,2019,7,25
60472,94108.0,37.789995000000005,-122.405484,81.0,103124.0,1.0,2019,5,31
3800,94102.0,37.785924,-122.411629,87.0,103119.0,4.0,2019,8,6
36014,94114.0,37.763263,-122.43446000000002,83.0,103120.0,3.0,2019,7,9
5760,94102.0,37.785096,-122.411651,98.0,103144.0,2.0,2019,6,12
2085,94109.0,37.783053,-122.41898799999998,86.0,103124.0,1.0,2017,9,20
1672,94105.0,37.792308,-122.393809,86.0,103150.0,4.0,2017,10,4
60115,94122.0,37.752922999999996,-122.50575900000001,77.0,103119.0,4.0,2019,8,5
1366,94110.0,37.757436,-122.41888,72.0,103154.0,1.0,2019,9,18
4746,94105.0,37.791588,-122.39291999999999,82.0,103105.0,3.0,2019,7,8
3951,94121.0,37.779962,-122.48508700000001,77.0,103154.0,1.0,2019,7,29
3868,94114.0,37.751267999999996,-122.434992,89.0,103109.0,1.0,2019,6,6
60472,94108.0,37.789995000000005,-122.405484,81.0,103103.0,3.0,2019,5,31
1977,94118.0,37.783004,-122.46253899999999,91.0,103103.0,3.0,2017,1,3
3286,94109.0,37.787997999999995,-122.42011699999999,81.0,103131.0,1.0,2019,2,14
1939,94105.0,37.787838,-122.400998,96.0,103149.0,1.0,2019,6,17
61494,94124.0,37.731902000000005,-122.391576,73.0,103144.0,2.0,2019,10,3
3229,94121.0,37.780083000000005,-122.483108,81.0,103145.0,3.0,2018,2,7
1921,94116.0,37.742603,-122.484646,79.0,103114.0,1.0,2019,7,3
2995,94103.0,37.776127,-122.408602,85.0,103133.0,1.0,2018,3,22
63000,94114.0,37.751243,-122.434619,98.0,103144.0,2.0,2019,6,6
26340,94133.0,37.797703999999996,-122.40805800000001,75.0,103124.0,1.0,2017,4,24
268,94123.0,37.800767,-122.436924,82.0,103149.0,1.0,2019,8,13
59520,94121.0,37.779663,-122.493618,90.0,103138.0,3.0,2019,5,29
64161,94109.0,37.786119,-122.418182,70.0,103124.0,1.0,2017,6,23
3222,94118.0,37.781403999999995,-122.45493700000002,82.0,103119.0,4.0,2017,11,17
328,94115.0,37.783017,-122.432584,82.0,103109.0,1.0,2018,6,26
3920,94103.0,37.765708000000004,-122.409002,91.0,103150.0,4.0,2019,7,29
4864,94110.0,37.759174,-122.41906599999999,78.0,103109.0,1.0,2019,7,8
3838,94103.0,37.764908,-122.42244199999999,90.0,103145.0,3.0,2018,6,20
63757,94103.0,37.784317,-122.40756299999998,88.0,103120.0,3.0,2019,6,6
39608,94121.0,37.775804,-122.49665,87.0,103103.0,3.0,2019,3,14
4057,94103.0,37.784964,-122.404752,94.0,103144.0,2.0,2017,11,7
62889,94105.0,37.785608,-122.399069,94.0,103119.0,4.0,2019,7,10
116,94111.0,37.793874,-122.396464,74.0,103105.0,3.0,2019,9,12
69299,94124.0,37.721007,-122.39643899999999,75.0,103133.0,1.0,2019,7,3
3736,94118.0,37.774758,-122.464955,92.0,103144.0,2.0,2019,9,6
60472,94108.0,37.789995000000005,-122.405484,81.0,103150.0,4.0,2019,5,31
61136,94118.0,37.780543,-122.473129,85.0,103144.0,2.0,2019,9,27
2797,94109.0,37.785358,-122.421357,74.0,103131.0,1.0,2017,6,15
15279,94112.0,37.724174,-122.43585900000001,83.0,103131.0,1.0,2019,5,31
3591,94121.0,37.780144,-122.48193899999998,78.0,103133.0,1.0,2018,8,9
66331,94109.0,37.787118,-122.42541399999999,84.0,103142.0,1.0,2019,10,3
69244,94107.0,37.780975,-122.402612,90.0,103154.0,1.0,2019,7,1
2263,94118.0,37.782933,-122.46408899999999,68.0,103109.0,1.0,2019,4,2
